SIPSN - Sistem Informasi Pengelolaan Sampah Nasional,,,,,,,,,,,,,
Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Tahunan (ton/tahun)(A),Pengurangan Sampah Tahunan (ton/tahun)(B),%Pengurangan Sampah(B/A),Penanganan Sampah Tahunan (ton/tahun)(C),%Penanganan Sampah(C/A),Sampah Terkelola Tahunan (ton/tahun)(B+C),%Sampah Terkelola(B+C)/A,Daur ulang Sampah Tahunan (ton/tahun)(D),Bahan baku Sampah Tahunan (ton/tahun)(E),Recycling Rate(D+E)/A,P1/P2
2020,Kalimantan Timur,Kota Balikpapan,"175,865.25","39,021.15",22.19,237.25,0.13,"39,258.40",22.32,"28,175.19",237.25,16.16,P 2
2020,Kalimantan Timur,Kota Samarinda,"226,578.93","31,186.61",13.76,"166,657.18",73.55,"197,843.79",87.32,"24,472.21",666.13,11.09,P 2
2020,Kalimantan Timur,Kota Bontang,"37,769.85","7,446.62",19.72,"29,139.48",77.15,"36,586.10",96.87,"6,493.98",,17.19,P 2
2019,Kalimantan Timur,Kab. Paser,"41,831.34","4,954.83",11.84,"24,217.75",57.89,"29,172.58",69.74,"1,322.42",,3.16,P 2
2019,Kalimantan Timur,Kab. Kutai Kartanegara,"75,858.97","5,534.50",7.30,"16,961.55",22.36,"22,496.05",29.66,91.25,,0.12,P 2
2019,Kalimantan Timur,Kab. Berau,"59,040.68","5,112.11",8.66,"16,425.00",27.82,"21,537.11",36.48,0.01,,0.00,P 2
2019,Kalimantan Timur,Kab. Kutai Timur,"77,355.18","10,645.85",13.76,"31,207.50",40.34,"41,853.35",54.11,199.90,"12,227.50",16.07,P 2
2019,Kalimantan Timur,Kab. Penajam Paser Utara,"39,386.69","4,026.11",10.22,"8,555.60",21.72,"12,581.71",31.94,"1,580.25",438.00,5.12,P 2
2019,Kalimantan Timur,Kota Balikpapan,"167,397.98","33,910.60",20.26,237.25,0.14,"34,147.85",20.40,"26,471.12",237.25,15.96,P 2
2019,Kalimantan Timur,Kota Samarinda,"222,992.22","33,167.22",14.87,"163,081.23",73.13,"196,248.45",88.01,"28,944.59",922.68,13.39,P 2
2019,Kalimantan Timur,Kota Bontang,"37,122.72","6,808.07",18.34,"29,075.90",78.32,"35,883.97",96.66,"6,443.66",73.00,17.55,P 2
